Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
13/01/2018,Watford,Southampton,,,,,,,R East,,,,,,,,,,,,
13/01/2018,West Brom,Brighton,,,,,,,M Atkinson,,,,,,,,,,,,
14/01/2018,Bournemouth,Arsenal,,,,,,,K Friend,,,,,,,,,,,,
14/01/2018,Liverpool,Man City,,,,,,,A Marriner,,,,,,,,,,,,
15/01/2018,Man United,Stoke,,,,,,,A Taylor,,,,,,,,,,,,
20/01/2018,Arsenal,Crystal Palace,,,,,,,C Kavanagh,,,,,,,,,,,,
20/01/2018,Brighton,Chelsea,,,,,,,J Moss,,,,,,,,,,,,
20/01/2018,Burnley,Man United,,,,,,,M Dean,,,,,,,,,,,,
20/01/2018,Everton,West Brom,,,,,,,S Attwell,,,,,,,,,,,,
20/01/2018,Leicester,Watford,,,,,,,L Probert,,,,,,,,,,,,
20/01/2018,Man City,Newcastle,,,,,,,P Tierney,,,,,,,,,,,,
20/01/2018,Stoke,Huddersfield,,,,,,,M Oliver,,,,,,,,,,,,
20/01/2018,West Ham,Bournemouth,,,,,,,M Atkinson,,,,,,,,,,,,
21/01/2018,Southampton,Tottenham,,,,,,,K Friend,,,,,,,,,,,,
22/01/2018,Swansea,Liverpool,,,,,,,N Swarbrick,,,,,,,,,,,,
30/01/2018,Huddersfield,Liverpool,,,,,,,K Friend,,,,,,,,,,,,
30/01/2018,Swansea,Arsenal,,,,,,,L Mason,,,,,,,,,,,,
30/01/2018,West Ham,Crystal Palace,,,,,,,N Swarbrick,,,,,,,,,,,,
31/01/2018,Chelsea,Bournemouth,,,,,,,L Probert,,,,,,,,,,,,
31/01/2018,Everton,Leicester,,,,,,,C Kavanagh,,,,,,,,,,,,
31/01/2018,Man City,West Brom,,,,,,,R Madley,,,,,,,,,,,,
31/01/2018,Newcastle,Burnley,,,,,,,S Hooper,,,,,,,,,,,,
31/01/2018,Southampton,Brighton,,,,,,,M Dean,,,,,,,,,,,,
31/01/2018,Stoke,Watford,,,,,,,J Moss,,,,,,,,,,,,
31/01/2018,Tottenham,Man United,,,,,,,A Marriner,,,,,,,,,,,,
03/02/2018,Arsenal,Everton,,,,,,,N Swarbrick,,,,,,,,,,,,
03/02/2018,Bournemouth,Stoke,,,,,,,P Tierney,,,,,,,,,,,,
03/02/2018,Brighton,West Ham,,,,,,,R East,,,,,,,,,,,,
03/02/2018,Burnley,Man City,,,,,,,M Atkinson,,,,,,,,,,,,
03/02/2018,Leicester,Swansea,,,,,,,A Taylor,,,,,,,,,,,,
03/02/2018,Man United,Huddersfield,,,,,,,S Attwell,,,,,,,,,,,,
03/02/2018,West Brom,Southampton,,,,,,,M Oliver,,,,,,,,,,,,
04/02/2018,Crystal Palace,Newcastle,,,,,,,A Marriner,,,,,,,,,,,,
04/02/2018,Liverpool,Tottenham,,,,,,,J Moss,,,,,,,,,,,,
05/02/2018,Watford,Chelsea,,,,,,,M Dean,,,,,,,,,,,,
10/02/2018,Everton,Crystal Palace,,,,,,,J Moss,,,,,,,,,,,,
10/02/2018,Man City,Leicester,,,,,,,M Jones,,,,,,,,,,,,
10/02/2018,Stoke,Brighton,,,,,,,R Madley,,,,,,,,,,,,
10/02/2018,Swansea,Burnley,,,,,,,A Marriner,,,,,,,,,,,,
10/02/2018,Tottenham,Arsenal,,,,,,,A Taylor,,,,,,,,,,,,
10/02/2018,West Ham,Watford,,,,,,,G Scott,,,,,,,,,,,,
11/02/2018,Huddersfield,Bournemouth,,,,,,,M Oliver,,,,,,,,,,,,
11/02/2018,Newcastle,Man United,,,,,,,C Pawson,,,,,,,,,,,,
11/02/2018,Southampton,Liverpool,,,,,,,M Atkinson,,,,,,,,,,,,
12/02/2018,Chelsea,West Brom,,,,,,,L Mason,,,,,,,,,,,,
24/02/2018,Bournemouth,Newcastle,,,,,,,R East,,,,,,,,,,,,
24/02/2018,Brighton,Swansea,,,,,,,M Dean,,,,,,,,,,,,
24/02/2018,Burnley,Southampton,,,,,,,R Madley,,,,,,,,,,,,
24/02/2018,Leicester,Stoke,,,,,,,M Oliver,,,,,,,,,,,,
24/02/2018,Liverpool,West Ham,,,,,,,S Attwell,,,,,,,,,,,,
24/02/2018,Watford,Everton,,,,,,,A Taylor,,,,,,,,,,,,
24/02/2018,West Brom,Huddersfield,,,,,,,J Moss,,,,,,,,,,,,
25/02/2018,Crystal Palace,Tottenham,,,,,,,K Friend,,,,,,,,,,,,
25/02/2018,Man United,Chelsea,,,,,,,M Atkinson,,,,,,,,,,,,
01/03/2018,Arsenal,Man City,,,,,,,A Marriner,,,,,,,,,,,,
03/03/2018,Burnley,Everton,,,,,,,C Kavanagh,,,,,,,,,,,,
03/03/2018,Leicester,Bournemouth,,,,,,,L Probert,,,,,,,,,,,,
03/03/2018,Liverpool,Newcastle,,,,,,,G Scott,,,,,,,,,,,,
03/03/2018,Southampton,Stoke,,,,,,,A Taylor,,,,,,,,,,,,
03/03/2018,Swansea,West Ham,,,,,,,M Atkinson,,,,,,,,,,,,
03/03/2018,Tottenham,Huddersfield,,,,,,,K Friend,,,,,,,,,,,,
03/03/2018,Watford,West Brom,,,,,,,P Tierney,,,,,,,,,,,,
04/03/2018,Brighton,Arsenal,,,,,,,S Attwell,,,,,,,,,,,,
04/03/2018,Man City,Chelsea,,,,,,,M Oliver,,,,,,,,,,,,
05/03/2018,Crystal Palace,Man United,,,,,,,N Swarbrick,,,,,,,,,,,,
10/03/2018,Chelsea,Crystal Palace,,,,,,,A Taylor,,,,,,,,,,,,
10/03/2018,Everton,Brighton,,,,,,,R East,,,,,,,,,,,,
